"","subject_id","corsi_pt","n_corr","mean_time_corr"
"1","ae01",5,3,4.88071417133324
"2","ae02",7,3,5.20824011766672
"3","ae03",4,3,3.38139865966635
"4","ae04",5,3,4.65857637866672
"5","ae05",5,3,4.9863076520002
"6","ae06",4,3,3.44245282200063
"7","ae07",5,3,3.74741406999965
"8","ae08",6,3,4.63642380866562
"9","ae09",7,3,5.20828877866734
"10","ae10",5,3,3.68681487333379
"11","ae11",6,3,5.04787998633886
"12","ae12",6,3,4.84739601599964
"13","ae13",5,3,4.68636714633127
"14","ae14",6,3,4.87526462766982
"15","ae15",3,3,3.92543024600309
"16","ae16",3,3,2.37566841867132
"17","ae17",5,3,4.15878497299855
"18","ae18",4,3,3.2753347713345
"19","ae19",5,3,3.3758860573386
"20","ae20",3,3,3.56414487034393
"21","ae21",5,3,4.71394171598755
"22","ae22",5,3,3.76533022133299
"23","ae23",4,3,2.70331711066683
"24","ae24",5,3,3.70924525366718
"25","ae25",5,3,4.89198510433441
"26","ae26",7,3,4.17027905699797
"27","ae27",4,3,3.72527734099761
"28","ae28",4,3,3.51464008533124
"29","ae29",5,3,3.55348719700123
"30","ae30",4,3,2.83661554433638
"31","ae31",4,3,3.03697254434034
"32","ae32",5,3,3.68696737366069
"33","am01",3,3,4.01989550467503
"34","am02",3,3,2.91966366832882
"35","am03",5,3,4.94775524265909
"36","am04",6,3,4.63655405132643
"37","am05",4,3,3.23150948865805
"38","am06",3,3,2.57580090933091
"39","am07",4,3,3.42571603533967
"40","am08",6,3,5.08099306198225
"41","am09",5,3,4.42544164698726
"42","am10",5,3,4.78642704434848
"43","am11",3,3,2.80933352134889
"44","am12",4,3,6.99176004932572
"45","am13",6,3,6.50845526834019
"46","am14",4,3,3.57552888966165
"47","am15",5,3,5.19212977198185
"48","am16",4,3,5.86977887531975
"49","am17",8,3,6.38636312030333
"50","am18",5,3,3.47560416767374
"51","am19",6,3,5.88089425499008
"52","am21",4,3,2.53653069200004
"53","am22",3,3,2.44790738733335
"54","am23",6,3,4.78107300233326
"55","am24",5,3,4.17533826233315
"56","am25",4,3,4.15306013199999
"57","am26",5,3,4.44795118899977
"58","am27",4,3,5.01480796433316
"59","am28",4,3,3.12011700733395
"60","am29",5,3,3.08195604466649
"61","am30",4,3,4.44266114733303
"62","am31",4,3,3.83682051666741
"63","am32",4,3,3.70909253732437
"64","ie01",5,3,3.32567465733337
"65","ie02",6,3,6.43074545666847
"66","ie03",5,3,4.01445101933011
"67","ie04",4,3,3.87593315733344
"68","ie05",4,3,2.93708981100159
"69","ie06",6,3,3.3360630596629
"70","ie07",5,3,3.25871734834315
"71","ie08",6,3,4.214326463339
"72","ie09",4,3,2.62020126133575
"73","ie10",5,3,4.01429765633657
"74","ie11",5,3,3.65317488500538
"75","ie12",4,3,3.66993605900401
"76","ie13",5,3,5.40891413100568
"77","ie14",4,3,2.33110863833766
"78","ie15",4,3,2.74147806966842
"79","ie16",3,3,2.55343658299989
"80","ie17",5,3,3.27578645199962
"81","ie18",6,3,5.29750030633295
"82","ie19",3,3,2.3255059263344
"83","ie20",6,3,4.58103019500004
"84","ie21",5,3,5.07523439599997
"85","ie22",5,3,3.04804483500144
"86","ie23",8,3,6.83658111367064
"87","ie24",5,3,4.39731781632872
"88","ie25",5,3,3.42029121266872
"89","ie26",4,3,2.30366828666592
"90","ie27",3,3,2.70394137999392
"91","ie28",3,3,2.44277602734898
"92","ie29",3,3,3.0533273696686
"93","ie30",7,3,5.98642843632842
"94","ie31",5,3,4.19215726300414
"95","ie32",3,3,3.4867918563347
"96","ie33",3,3,2.40901124533654
"97","im01",5,3,4.41440306333243
"98","im02",4,3,4.64778659066845
"99","im03",4,3,3.49768935233333
"100","im04",3,3,3.25836277964603
"101","im05",5,3,3.83655026799534
"102","im06",5,3,3.6088945469819
"103","im07",4,3,2.7756191076672
"104","im08",4,3,4.96951677366936
"105","im09",6,3,6.64796275034314
"106","im10",5,3,3.56504078933115
"107","im11",5,3,4.5584234483346
"108","im12",3,3,2.63111416298974
"109","im13",5,3,4.40336065997447
"110","im14",5,3,4.6811039976698
"111","im15",4,3,3.84731153066673
"112","im17",5,3,3.97600814733354
"113","im18",5,3,4.63639010966684
"114","im19",4,3,3.3864038256664
"115","im20",3,3,2.0147731486674
"116","im21",4,3,3.66996201466645
"117","im22",5,3,5.55864544633368
"118","im23",4,3,3.108645837
"119","im24",4,3,4.92585244399985
"120","im25",6,3,5.00910330966508
"121","im26",5,3,4.39240037366714
"122","im27",5,3,3.94765503466624
"123","im28",4,3,3.42575422533385
"124","im29",3,3,3.19765349533069
"125","im30",5,3,4.83076120266924
"126","im31",3,3,3.14234707200376
"127","im32",6,3,5.13695297066685
"128","mo00",4,3,3.49825178133324
"129","mo01",6,3,5.84737393099992
"130","mo02",5,3,4.65352849699957
"131","mo04",5,3,6.16410229433313
"132","mo05",3,3,2.83114300000064
"133","mo06",5,3,3.86977221333291
"134","mo07",5,3,4.269899506
"135","mo08",5,3,4.50865493666606
"136","mo09",4,3,2.91994412233331
"137","mo10",3,3,2.78105768399989
"138","mo11",6,3,6.44761375700007
"139","mo19",4,3,3.87539369299998
"140","mo20",3,3,2.99169506233344
"141","mo22",4,3,4.60893201033332
"142","mo23",4,3,4.79257716166649
"143","mo24",7,3,7.77499704433338
"144","mo25",5,3,3.89200103666675
"145","mo26",5,3,9.70805989933334
"146","mo27",5,3,7.36390692566692
"147","mo28",5,3,5.82550805099951
"148","mo29",6,3,5.65321864866686
"149","mo30",4,3,4.21398052566686
